IndianRed	                rgb(205, 92, 92)
#CD5C5C	               
LightCoral	                rgb(240, 128, 128)
#F08080	               
Salmon	                rgb(250, 128, 114)
#FA8072	               
DarkSalmon	                rgb(233, 150, 122)
#E9967A	               
LightSalmon	                rgb(255, 160, 122)
#FFA07A	               
Crimson	                rgb(220, 20, 60)
#DC143C	               
Red	                rgb(255, 0, 0)
#FF0000	               
FireBrick	                rgb(178, 34, 34)
#B22222	               
DarkRed	                rgb(139, 0, 0)
#8B0000	               
Pink	                rgb(255, 192, 203)
#FFC0CB	               
#FFB6C1	               
HotPink	                rgb(255, 105, 180)
#FF69B4	               
DeepPink	                rgb(255, 20, 147)
#FF1493	               
MediumVioletRed	                rgb(199, 21, 133)
#C71585	               
PaleVioletRed	                rgb(219, 112, 147)
#DB7093	               
LightSalmon	                rgb(255, 160, 122)
#FFA07A	               
#FF7F50	               
Tomato	                rgb(255, 99, 71)
#FF6347	               
OrangeRed	                rgb(255, 69, 0)
#FF4500	               
DarkOrange	                rgb(255, 140, 0)
#FF8C00	               
Orange	                rgb(255, 165, 0)
#FFA500	               
Gold	                rgb(255, 215, 0)
#FFD700	               
#FFFF00	               
LightYellow	                rgb(255, 255, 224)
#FFFFE0	               
LemonChiffon	                rgb(255, 250, 205)
#FFFACD	               
LightGoldenrodYellow	                rgb(250, 250, 210)
#FAFAD2	               
PapayaWhip	                rgb(255, 239, 213)
#FFEFD5	               
Moccasin	                rgb(255, 228, 181)
#FFE4B5	               
PeachPuff	                rgb(255, 218, 185)
#FFDAB9	               
PaleGoldenrod	                rgb(238, 232, 170)
#EEE8AA	               
Khaki	                rgb(240, 230, 140)
#F0E68C	               
DarkKhaki	                rgb(189, 183, 107)
#BDB76B	               
Lavender	                rgb(230, 230, 250)
#E6E6FA	               
#D8BFD8	               
Plum	                rgb(221, 160, 221)
#DDA0DD	               
Violet	                rgb(238, 130, 238)
#EE82EE	               
Orchid	                rgb(218, 112, 214)
#DA70D6	               
Fuchsia	                rgb(255, 0, 255)
#FF00FF	               
Magenta	                rgb(255, 0, 255)
#FF00FF	               
MediumOrchid	                rgb(186, 85, 211)
#BA55D3	               
MediumPurple	                rgb(147, 112, 219)
#9370DB	               
RebeccaPurple	                rgb(102, 51, 153)
#663399	               
BlueViolet	                rgb(138, 43, 226)
#8A2BE2	               
DarkViolet	                rgb(148, 0, 211)
#9400D3	               
DarkOrchid	                rgb(153, 50, 204)
#9932CC	               
DarkMagenta	                rgb(139, 0, 139)
#8B008B	               
Purple	                rgb(128, 0, 128)
#800080	               
Indigo	                rgb(75, 0, 130)
#4B0082	               
SlateBlue	                rgb(106, 90, 205)
#6A5ACD	               
DarkSlateBlue	                rgb(72, 61, 139)
#483D8B	               
MediumSlateBlue	                rgb(123, 104, 238)
